User[2, M, 56, Self-employed, 70072]
User[4431, M, 1, Sales/marketing, 80401]
User[4432, M, 25, Programmer, 21045]
User[4442, M, 50, Scientist, 94303]
User[4445, M, 25, Clerical/admin, 19806]
User[4448, M, 25, Sales/marketing, 06880]
User[4457, M, 35, Sales/marketing, 95492]
User[4463, M, 50, Executive/managerial, 07405]
User[4466, M, 35, Lawyer, 10022]
User[4469, F, 45, Programmer, 92037]
User[4474, M, 35, Executive/managerial, 28805]
User[4480, M, 25, Other, 94403]
User[4482, F, 35, Academic/educator, 94044]
User[4484, F, 25, Technician/engineer, 94613]
User[4505, M, 50, Executive/managerial, 39648]
User[4506, M, 50, Self-employed, 29464]
User[4509, M, 25, Executive/managerial, 38261]
User[4510, M, 45, Executive/managerial, 92503]
User[4513, M, 56, Other, 61704]
User[4531, M, 18, College/grad student, 85701]
User[4543, M, 25, Artist, 11105]
User[4556, M, 45, Self-employed, 55011]
User[4564, M, 35, Programmer, 19107]
User[4580, F, 56, Retired, 97113]
User[4589, M, 25, Technician/engineer, 02139]
User[4595, M, 25, Tradesman/craftsman, 97034]
User[4598, F, 35, Clerical/admin, 48237]
User[4607, M, 25, Other, 27403]
User[4637, F, 35, Homemaker, 48302]
User[4647, M, 35, Writer, 80222]
User[4666, M, 35, Academic/educator, 53704]
User[4667, M, 25, Sales/marketing, 94117]
User[4673, M, 35, Self-employed, 94705]
User[4682, M, 25, Executive/managerial, 05346]
User[4686, M, 18, Academic/educator, 50201]
User[4688, M, 25, Homemaker, 44310]
User[4701, M, 45, Technician/engineer, 18036]
User[4702, M, 25, Lawyer, 13031]
User[4708, M, 25, Other, 60647]
User[4715, M, 25, Artist, 97205]
User[4717, M, 45, Technician/engineer, 48310]
User[4728, M, 25, Unemployed, 31401]
User[4745, F, 18, College/grad student, 06268]
User[4753, M, 56, Academic/educator, 03825]
User[4757, M, 35, Technician/engineer, 23451]
User[4761, M, 18, Scientist, 21042]
User[4762, F, 25, Sales/marketing, 94110]
User[4765, F, 35, Self-employed, 03301]
User[4771, F, 25, College/grad student, 04101]
User[4786, M, 45, Doctor/health care, 22630]
User[4787, M, 1, Lawyer, 94610]
User[4802, M, 56, Academic/educator, 40601]
User[4806, M, 25, Technician/engineer, 90031]
User[4815, F, 50, Tradesman/craftsman, 04849]
User[4820, M, 50, Lawyer, 04210]
User[4823, M, 18, College/grad student, 46219]
User[4824, M, 25, Executive/managerial, 55411]
User[4825, M, 25, Technician/engineer, 94602]
User[4831, F, 25, Academic/educator, 04210]
User[4848, F, 35, Doctor/health care, 54971]
User[4852, M, 35, Other, 42025]
User[4858, M, 25, Academic/educator, 04086]
User[4861, M, 25, College/grad student, 04309]
User[4867, M, 25, Self-employed, 04101]
User[4869, F, 45, Doctor/health care, 04578]
User[4873, M, 56, Lawyer, 13760]
User[4882, M, 45, Lawyer, 03301]
User[4885, M, 56, Academic/educator, 23513]
User[4888, F, 56, Other, 08055]
User[4898, M, 25, Academic/educator, 27713]
User[4901, M, 25, Executive/managerial, 11228]
User[4903, M, 35, Programmer, 95952]
User[4904, M, 50, Scientist, 63121]
User[4906, M, 50, Technician/engineer, 49506]
User[4913, F, 25, Academic/educator, 970025]
User[4921, F, 25, Scientist, 92507]
User[4923, M, 45, Tradesman/craftsman, 99826]
User[4936, F, 18, College/grad student, 63144]
User[4945, M, 50, Other, 62234]
User[4953, M, 35, Programmer, 55082]
User[4957, M, 25, Artist, 48197]
User[4962, M, 25, Doctor/health care, 55439]
User[4975, M, 35, Other, 90065]
User[4979, M, 35, Artist, 55423]
User[4983, F, 45, Self-employed, 55116]
User[4984, M, 35, Other, 55405]
User[4990, F, 25, College/grad student, 55407]
User[4991, F, 56, Sales/marketing, 91791]
User[5005, M, 45, Self-employed, 92807]
User[5013, M, 18, College/grad student, 26241]
User[5015, M, 35, Doctor/health care, 92672]
User[5017, M, 35, Programmer, 91104]
User[5018, F, 56, Programmer, 90290]
User[5021, M, 50, Doctor/health care, 90504]
User[5025, M, 25, Writer, 60615]
User[5034, F, 25, Scientist, 62901]
User[5038, M, 25, Writer, 10010]
User[5041, F, 45, Doctor/health care, 60031]
User[5042, F, 18, Artist, 55408]
User[5057, M, 50, Executive/managerial, 84093]
User[5058, M, 56, Technician/engineer, 84121]
User[5064, M, 18, College/grad student, 43215]
User[5065, M, 25, Sales/marketing, 28715]
User[5066, F, 25, Academic/educator, 23603]
User[5069, F, 56, Other, 95062]
User[5070, M, 25, Artist, 55344]
User[5073, M, 56, Artist, 93950]
User[5074, M, 1, Other, 20132]
User[5077, M, 25, Artist, 20037]
User[5090, F, 35, Unemployed, 75069]
User[5094, M, 18, K-12 student, 67206]
User[5095, F, 35, Academic/educator, 23508]
User[5097, M, 56, Self-employed, 19131]
User[5100, M, 50, Doctor/health care, 193122042]
User[5110, M, 35, Scientist, 78250]
User[5111, M, 35, Artist, 78006]
User[5130, F, 50, Academic/educator, 33149]
User[5134, M, 25, Technician/engineer, 95014]
User[5140, M, 25, Doctor/health care, 35205]
User[5153, M, 25, Executive/managerial, 60046]
User[5156, M, 18, Sales/marketing, 10024]
User[5158, F, 18, College/grad student, 44509]
User[5161, M, 25, College/grad student, 30052]
User[5163, M, 45, Doctor/health care, 53216]
User[5165, M, 35, Doctor/health care, 91103]
User[5166, M, 50, Doctor/health care, 42420]
User[5168, M, 35, Executive/managerial, 01720]
User[5175, F, 35, Homemaker, 33445]
User[5180, M, 35, Lawyer, 85044]
User[5185, F, 35, College/grad student, 44485]
User[5206, M, 35, Executive/managerial, 91302]
User[5224, M, 35, Academic/educator, 10016]
User[5233, M, 25, Customer service, 97213]
User[5239, M, 35, Executive/managerial, 07043]
User[5252, M, 25, Writer, 60622]
User[5261, M, 35, Programmer, 10025]
User[5264, M, 18, College/grad student, 15217]
User[5269, M, 18, Other, 37211]
User[5277, M, 25, Writer, 91740]
User[5281, M, 25, Artist, 90210]
User[5289, M, 45, Artist, 94102]
User[5290, F, 18, College/grad student, 60613]
User[5300, M, 25, Writer, 94111]
User[5305, F, 18, College/grad student, 95602]
User[5317, F, 25, Other, 02138]
User[5321, M, 25, College/grad student, 02457]
User[5323, M, 25, Writer, 94122]
User[5329, F, 25, Customer service, 91773]
User[5349, F, 50, Artist, 97424]
User[5352, F, 35, Customer service, 55306]
User[5353, M, 25, Doctor/health care, 77030]
User[5367, M, 18, College/grad student, 55344]
User[5369, M, 25, Scientist, 02139]
User[5371, M, 25, Lawyer, 55408]
User[5394, M, 18, Other, 60618]
User[5395, M, 50, Academic/educator, 13224]
User[5397, M, 18, Other, 60451]
User[5404, M, 25, Other, 30068]
User[5421, M, 35, Technician/engineer, 22030]
User[5423, F, 50, Customer service, 60714]
User[5425, M, 18, College/grad student, 53211]
User[5427, M, 35, Unemployed, 11201]
User[5428, F, 25, Doctor/health care, 28412]
User[5430, F, 45, Academic/educator, 26505]
User[5433, F, 35, Technician/engineer, 45014]
User[5441, M, 50, Executive/managerial, 95762]
User[5443, M, 25, Programmer, 01915]
User[5453, M, 18, College/grad student, 30305]
User[5454, M, 35, Executive/managerial, 10001]
User[5458, F, 18, Artist, 98102]
User[5463, M, 35, Other, 53202]
User[5468, M, 25, Programmer, 94618]
User[5475, M, 25, College/grad student, 94110]
User[5482, M, 18, Executive/managerial, 10014]
User[5502, M, 25, Artist, 66044]
User[5504, M, 45, Executive/managerial, 85287-2702]
User[5509, M, 25, Other, 11215]
User[5520, M, 45, Academic/educator, 18901]
User[5526, F, 35, Artist, 27514]
User[5528, M, 50, Academic/educator, 45840]
User[5541, M, 56, Executive/managerial, 93924]
User[5542, M, 45, Executive/managerial, 11576]
User[5545, F, 35, Self-employed, 98072]
User[5550, M, 35, Scientist, 48187]
User[5557, M, 35, Sales/marketing, 33701]
User[5567, M, 50, Clerical/admin, 78704]
User[5577, M, 50, Academic/educator, 12970]
User[5580, M, 45, Executive/managerial, 01581]
User[5582, M, 45, Academic/educator, 50011]
User[5596, M, 35, Programmer, 22201]
User[5600, F, 45, Other, 12833-2000]
User[5614, M, 25, Other, 12833]
User[5616, M, 45, Academic/educator, 08840]
User[5620, M, 35, Sales/marketing, 55330]
User[5621, M, 25, Executive/managerial, 02135]
User[5626, M, 56, Self-employed, 32043]
User[5629, M, 25, Sales/marketing, 02465]
User[5631, M, 35, Programmer, 01944]
User[5639, F, 18, College/grad student, 62025]
User[5643, F, 35, Academic/educator, 84108]
User[5647, M, 18, Academic/educator, 62522]
User[5650, F, 35, Programmer, 91104]
User[5665, M, 18, College/grad student, 10461-1301]
User[5667, M, 35, Executive/managerial, 10009]
User[5676, M, 25, Writer, 78746]
User[5680, M, 50, Writer, 94117]
User[5690, M, 18, College/grad student, 78666]
User[5695, F, 35, Clerical/admin, 21221]
User[5698, M, 35, Sales/marketing, 55418]
User[5733, M, 25, College/grad student, 48109]
User[5734, F, 25, Sales/marketing, 10022]
User[5737, M, 45, Scientist, 93555]
User[5739, M, 25, Executive/managerial, 90212]
User[5744, F, 25, College/grad student, 66044]
User[5752, F, 56, Other, 14850]
User[5755, F, 35, Artist, 78744]
User[5757, M, 1, K-12 student, 05667]
User[5759, F, 25, Academic/educator, 08904]
User[5762, F, 35, Doctor/health care, 55125]
User[5763, F, 25, Academic/educator, 08904]
User[5770, M, 25, Other, 80231]
User[5775, M, 25, Lawyer, 10024]
User[5777, M, 1, Other, 05667]
User[5779, M, 25, Customer service, 10011]
User[5786, M, 25, Doctor/health care, 53211]
User[5790, F, 35, Other, 55303]
User[5791, M, 18, College/grad student, 44074]
User[5792, M, 25, Technician/engineer, 43201]
User[5795, M, 25, Academic/educator, 92688]
User[5808, F, 25, Executive/managerial, 37206]
User[5812, F, 25, Executive/managerial, 92120]
User[5815, M, 25, Writer, 90048]
User[5825, F, 25, College/grad student, 43201]
User[5826, M, 18, College/grad student, 60201]
User[5838, F, 45, Executive/managerial, 02038]
User[5845, F, 25, Clerical/admin, 79411]
User[5846, M, 45, Self-employed, 78204]
User[5848, M, 50, Writer, 20009]
User[5852, F, 25, Academic/educator, 94044]
User[5859, M, 25, Executive/managerial, 89117]
User[5865, M, 25, Technician/engineer, 95926]
User[5868, M, 35, Sales/marketing, 85331]
User[5888, M, 25, Writer, 64114]
User[5890, M, 35, Writer, 77008]
User[5911, F, 25, Technician/engineer, 80301]
User[5917, F, 50, Academic/educator, 94550]
User[5920, F, 25, Academic/educator, 05401]
User[5924, M, 35, Other, 55417]
User[5942, M, 45, Academic/educator, 01867]
User[5948, M, 56, Retired, 12124]
User[5949, M, 18, Technician/engineer, 47901]
User[5950, M, 25, College/grad student, 19713]
User[5954, M, 45, Lawyer, 70802]
User[5956, F, 18, College/grad student, 02142]
User[5958, M, 45, Sales/marketing, 94301]
User[5962, M, 35, Executive/managerial, 80221]
User[5964, M, 18, Customer service, 97202]
User[5965, M, 25, Technician/engineer, 77449]
User[5975, M, 25, Sales/marketing, 55104]
User[5977, M, 35, Academic/educator, 90012]
User[5978, M, 35, Academic/educator, 49307]
User[5986, F, 56, Academic/educator, 01060]
User[6001, F, 25, Executive/managerial, 94117]
User[6002, M, 50, Other, 43231]
User[6021, M, 25, Programmer, 08876]
User[6032, M, 45, Executive/managerial, 55108]
User[6033, M, 50, Retired, 78232]
User[6035, F, 25, Academic/educator, 78734]
User[6036, F, 25, Scientist, 32603]
